cat,loc,time,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,q.0%,q.2.5%,q.5%,q.7.5%,q.10%,q.12.5%,q.15%,q.17.5%,q.20%,q.22.5%,q.25%,q.27.5%,q.30%,q.32.5%,q.35%,q.37.5%,q.40%,q.42.5%,q.45%,q.47.5%,q.50%,q.52.5%,q.55%,q.57.5%,q.60%,q.62.5%,q.65%,q.67.5%,q.70%,q.72.5%,q.75%,q.77.5%,q.80%,q.82.5%,q.85%,q.87.5%,q.90%,q.92.5%,q.95%,q.97.5%,q.100%
shake_intensity,3,2020-04-06 00:10:00,0.5531081,0.4639905,0.13189294,1.15742086,0.1318929,0.9905705,0.1318929,0.7599887,0.2984729,0.5629361,0.11105844,0.16726281,0.19907571,0.21437388,0.24660372,0.26765086,0.30594836,0.32043389,0.32871336,0.33926697,0.35478668,0.37404839,0.39870307,0.40869198,0.42288950,0.43281564,0.45016773,0.45796791,0.46845450,0.48230924,0.49039406,0.50970869,0.52774461,0.53578713,0.55267724,0.55951685,0.57521585,0.59805843,0.61940478,0.63580939,0.67677018,0.71604698,0.74838346,0.80278371,0.83091383,0.90962112,0.97185830,1.03612115,1.13984243,1.19513557,1.57420528
shake_intensity,3,2020-04-06 00:15:00,0.5548828,0.4883672,0.13085938,1.13862946,0.1672239,1.0277232,0.1423639,0.7894406,0.3136196,0.5934897,0.10203578,0.16723917,0.19524480,0.21253281,0.23608356,0.26768843,0.29931783,0.31308390,0.32200572,0.34318658,0.35751403,0.37944415,0.38795617,0.40527597,0.41536749,0.43790582,0.45472673,0.46809233,0.47329848,0.49739373,0.50678173,0.51407530,0.52656985,0.53995666,0.55032930,0.56903828,0.58464675,0.59231489,0.60403059,0.64258393,0.67415767,0.72119434,0.77402786,0.82280749,0.84596250,0.89946772,0.94582739,1.02939045,1.11344479,1.19483220,1.59568976
shake_intensity,3,2020-04-06 00:20:00,0.5529176,0.4903352,0.10131855,1.09113905,0.1640426,1.0023260,0.1961200,0.8261140,0.3308102,0.5980008,0.10131855,0.16757416,0.20541232,0.21928021,0.24736136,0.27587980,0.30881820,0.32105621,0.33356240,0.35239534,0.35926929,0.37025529,0.38576087,0.39993904,0.42057686,0.43766162,0.44202131,0.46072841,0.47667122,0.49152566,0.50583546,0.52366952,0.54146374,0.55382305,0.56206482,0.57957195,0.58877309,0.59656684,0.60742239,0.63412282,0.66312442,0.71507553,0.78564102,0.79782030,0.82926172,0.88485234,0.95691157,1.00401750,1.08086790,1.22997639,1.48055581
shake_intensity,3,2020-04-06 00:25:00,0.5490159,0.4909753,0.09979784,1.12314154,0.1578669,0.9858176,0.1399363,0.7752962,0.3398085,0.6163935,0.09979784,0.16758928,0.19357802,0.22428898,0.23969345,0.28280909,0.29148979,0.31656752,0.32189372,0.34487663,0.36749192,0.38296012,0.39066660,0.41128495,0.42551053,0.43987928,0.44869661,0.46607487,0.47840751,0.48946504,0.50550749,0.51903161,0.52498125,0.54294456,0.55345920,0.56736687,0.58704697,0.59800603,0.61155166,0.62435210,0.65270052,0.70763422,0.76940086,0.80263083,0.83206757,0.88652325,0.94777825,0.98707137,1.10250745,1.19044022,1.45196282
shake_intensity,3,2020-04-06 00:30:00,0.5469367,0.4922286,0.12489862,1.07600100,0.1324780,0.9279305,0.2038337,0.8374535,0.3243550,0.5945782,0.09928840,0.15681330,0.20337759,0.21979531,0.24947139,0.27689086,0.29151314,0.32385789,0.33314540,0.33841812,0.35761444,0.38638444,0.39858403,0.41058962,0.42137927,0.42596095,0.44337221,0.47281427,0.48652065,0.49200369,0.50855965,0.52519341,0.53013219,0.54049538,0.55843660,0.57521295,0.58475166,0.59454944,0.61378611,0.63202314,0.67151350,0.71755903,0.77486359,0.80081362,0.83562210,0.86248073,0.91087223,0.96353447,1.04680126,1.17248013,1.46555645
shake_intensity,3,2020-04-06 00:35:00,0.5453382,0.5093747,0.12669932,1.02517053,0.1510927,0.9411921,0.1650936,0.7751073,0.3524162,0.6252936,0.10403755,0.16589405,0.19944625,0.23223296,0.24901889,0.27326597,0.29397494,0.31222749,0.34131677,0.35165945,0.36569682,0.38676119,0.39634773,0.40585145,0.41121675,0.42309964,0.44587600,0.46729149,0.48420724,0.49584673,0.51147483,0.52337404,0.53614197,0.55605009,0.56496370,0.57370744,0.59212729,0.60456694,0.61542525,0.62522837,0.65765371,0.70930649,0.75450639,0.77783012,0.82666964,0.85830979,0.91449909,0.95710221,1.01852658,1.18361571,1.49751642
shake_intensity,3,2020-04-06 00:40:00,0.5431216,0.4782354,0.13086059,1.02840438,0.1602994,0.9150568,0.1830960,0.7749181,0.3739812,0.6621403,0.10585552,0.17520020,0.19971905,0.23684413,0.25513786,0.27672189,0.28893199,0.31846634,0.33845709,0.35291098,0.37352678,0.38423574,0.39145016,0.40191583,0.40842907,0.43368017,0.45200885,0.47286693,0.49018797,0.49874320,0.50803664,0.52026505,0.53515538,0.54540427,0.55841457,0.58897566,0.60551669,0.61964450,0.63436544,0.65070086,0.66099652,0.69940001,0.73734589,0.76355812,0.81465286,0.83295767,0.87641109,0.91686152,1.00391482,1.16354566,1.40380541
shake_intensity,3,2020-04-06 00:45:00,0.5404877,0.4517002,0.14046272,1.00950041,0.1603242,0.8902142,0.2495293,0.8482042,0.3704101,0.6535361,0.10675182,0.16774340,0.19338472,0.22874082,0.25425080,0.26478822,0.28050562,0.30717677,0.32570823,0.35933310,0.37641498,0.38823156,0.39544097,0.41106994,0.42268833,0.43745930,0.44980008,0.46151124,0.47686319,0.49318772,0.50231213,0.52629851,0.54112640,0.55485402,0.57147548,0.59156534,0.60267525,0.61763363,0.63802464,0.65009446,0.66545945,0.68610437,0.72867620,0.77413781,0.82630363,0.83649822,0.86870816,0.89199792,0.97491654,1.11713772,1.35311944
shake_intensity,3,2020-04-06 00:50:00,0.5338047,0.4466374,0.10460855,0.96845794,0.1705647,0.8620075,0.2312570,0.8014305,0.3855673,0.6718867,0.10460855,0.17056603,0.19482603,0.23744002,0.25185150,0.26292861,0.27896786,0.30148816,0.33752363,0.35581537,0.37930832,0.38772824,0.39529851,0.40990249,0.42212588,0.43602894,0.45185244,0.45855597,0.47358208,0.49014498,0.50684324,0.52489876,0.53709098,0.56157728,0.57833276,0.58122178,0.59716963,0.62142539,0.63881359,0.65216190,0.66845792,0.67556567,0.73475356,0.75731623,0.78942451,0.80264439,0.84366950,0.86226873,0.95573779,1.06696320,1.34709705
shake_intensity,3,2020-04-06 00:55:00,0.5289573,0.4610103,0.11397556,0.99457554,0.1589162,0.8500935,0.2222639,0.7820603,0.3560029,0.6270663,0.11397556,0.16128205,0.19200915,0.23163346,0.25027063,0.25905222,0.27601020,0.30216315,0.33340108,0.35896785,0.37119127,0.39233931,0.40453803,0.41435206,0.42049809,0.42879226,0.45483320,0.46522691,0.47490298,0.48430493,0.50249198,0.51073049,0.52249195,0.55529775,0.56411604,0.57302527,0.59286151,0.61252312,0.62000792,0.62898493,0.64881662,0.68610504,0.72141034,0.74144820,0.76191733,0.79449114,0.81693354,0.85086260,0.94977949,1.07488018,1.37309787
